Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-01-02,6309,6309,6309,6309
2015-01-05,6216,6216,6216,6216
2015-01-06,6191,6191,6191,6191
2015-01-07,6170,6170,6170,6170
2015-01-08,6230.5,6230.5,6230.5,6230.5
2015-01-09,6151,6151,6151,6151
2015-01-12,6131,6131,6131,6131
2015-01-13,5915,5915,5915,5915
2015-01-14,5627,5627,5627,5627
2015-01-15,5719,5719,5719,5719
2015-01-16,5660,5660,5660,5660
2015-01-19,5671,5671,5671,5671
2015-01-20,5760.5,5760.5,5760.5,5760.5
2015-01-21,5630.5,5630.5,5630.5,5630.5
2015-01-22,5742,5742,5742,5742
2015-01-23,5581,5581,5581,5581
2015-01-26,5490,5490,5490,5490
2015-01-27,5557,5557,5557,5557
2015-01-28,5485.5,5485.5,5485.5,5485.5
2015-01-29,5390.5,5390.5,5390.5,5390.5
2015-01-30,5505,5505,5505,5505
2015-02-02,5535.5,5535.5,5535.5,5535.5
2015-02-03,5695,5695,5695,5695
2015-02-04,5708,5708,5708,5708
2015-02-05,5595,5595,5595,5595
2015-02-06,5692,5692,5692,5692
2015-02-09,5666,5666,5666,5666
2015-02-10,5591,5591,5591,5591
2015-02-11,5645.5,5645.5,5645.5,5645.5
2015-02-12,5695,5695,5695,5695
2015-02-13,5731,5731,5731,5731
2015-02-16,5712,5712,5712,5712
2015-02-17,5665.5,5665.5,5665.5,5665.5
2015-02-18,5690,5690,5690,5690
2015-02-19,5720,5720,5720,5720
2015-02-20,5707,5707,5707,5707
2015-02-23,5657,5657,5657,5657
2015-02-24,5715,5715,5715,5715
2015-02-25,5805,5805,5805,5805
2015-02-26,5935.5,5935.5,5935.5,5935.5
2015-02-27,5880.5,5880.5,5880.5,5880.5
2015-03-02,5896,5896,5896,5896
2015-03-03,5855,5855,5855,5855
2015-03-04,5882,5882,5882,5882
2015-03-05,5856,5856,5856,5856
2015-03-06,5826.5,5826.5,5826.5,5826.5
2015-03-09,5800,5800,5800,5800
2015-03-10,5783.5,5783.5,5783.5,5783.5
2015-03-11,5786,5786,5786,5786
2015-03-12,5865.5,5865.5,5865.5,5865.5
2015-03-13,5860,5860,5860,5860
2015-03-16,5853,5853,5853,5853
2015-03-17,5765,5765,5765,5765
2015-03-18,5692.5,5692.5,5692.5,5692.5
2015-03-19,5835,5835,5835,5835
2015-03-20,5920,5920,5920,5920
2015-03-23,6093.5,6093.5,6093.5,6093.5
2015-03-24,6128,6128,6128,6128
2015-03-25,6134.5,6134.5,6134.5,6134.5
2015-03-26,6230,6230,6230,6230
2015-03-27,6146,6146,6146,6146
2015-03-30,6110,6110,6110,6110
2015-03-31,6050.5,6050.5,6050.5,6050.5
2015-04-01,6019.5,6019.5,6019.5,6019.5
2015-04-02,6001.5,6001.5,6001.5,6001.5
2015-04-07,6041,6041,6041,6041
2015-04-08,6055,6055,6055,6055
2015-04-09,6050,6050,6050,6050
2015-04-10,6055,6055,6055,6055
2015-04-13,6011.5,6011.5,6011.5,6011.5
2015-04-14,5916.5,5916.5,5916.5,5916.5
2015-04-15,5920.5,5920.5,5920.5,5920.5
2015-04-16,6054,6054,6054,6054
2015-04-17,6081,6081,6081,6081
2015-04-20,6002,6002,6002,6002
2015-04-21,5975,5975,5975,5975
2015-04-22,5927,5927,5927,5927
2015-04-23,5935,5935,5935,5935
2015-04-24,6025.5,6025.5,6025.5,6025.5
2015-04-27,6061,6061,6061,6061
2015-04-28,6090.5,6090.5,6090.5,6090.5
2015-04-29,6103,6103,6103,6103
2015-04-30,6245,6245,6245,6245
2015-05-01,6362,6362,6362,6362
2015-05-05,6410,6410,6410,6410
2015-05-06,6400.5,6400.5,6400.5,6400.5
2015-05-07,6437,6437,6437,6437
2015-05-08,6396.5,6396.5,6396.5,6396.5
2015-05-11,6363,6363,6363,6363
2015-05-12,6448,6448,6448,6448
2015-05-13,6416,6416,6416,6416
2015-05-14,6399,6399,6399,6399
2015-05-15,6356,6356,6356,6356
2015-05-18,6383,6383,6383,6383
2015-05-19,6270,6270,6270,6270
2015-05-20,6208,6208,6208,6208
2015-05-21,6240,6240,6240,6240
2015-05-22,6197.5,6197.5,6197.5,6197.5
2015-05-26,6134.5,6134.5,6134.5,6134.5
2015-05-27,6085,6085,6085,6085
2015-05-28,6117,6117,6117,6117
2015-05-29,6088.5,6088.5,6088.5,6088.5
2015-06-01,5970.5,5970.5,5970.5,5970.5
2015-06-02,5998.5,5998.5,5998.5,5998.5
2015-06-03,5992,5992,5992,5992
2015-06-04,5954,5954,5954,5954
2015-06-05,5924.5,5924.5,5924.5,5924.5
2015-06-08,5915,5915,5915,5915
2015-06-09,5989,5989,5989,5989
2015-06-10,6045.5,6045.5,6045.5,6045.5
2015-06-11,5906,5906,5906,5906
2015-06-12,5888.5,5888.5,5888.5,5888.5
2015-06-15,5760.5,5760.5,5760.5,5760.5
2015-06-16,5752,5752,5752,5752
2015-06-17,5749,5749,5749,5749
2015-06-18,5761,5761,5761,5761
2015-06-19,5663,5663,5663,5663
2015-06-22,5646,5646,5646,5646
2015-06-23,5725,5725,5725,5725
2015-06-24,5765,5765,5765,5765
2015-06-25,5715.5,5715.5,5715.5,5715.5
2015-06-26,5731,5731,5731,5731
2015-06-29,5767,5767,5767,5767
2015-06-30,5721,5721,5721,5721
2015-07-01,5755.5,5755.5,5755.5,5755.5
2015-07-02,5761,5761,5761,5761
2015-07-03,5761.5,5761.5,5761.5,5761.5
2015-07-06,5570,5570,5570,5570
2015-07-07,5440.5,5440.5,5440.5,5440.5
2015-07-08,5375,5375,5375,5375
2015-07-09,5576,5576,5576,5576
2015-07-10,5561.5,5561.5,5561.5,5561.5
2015-07-13,5605.5,5605.5,5605.5,5605.5
2015-07-14,5502.5,5502.5,5502.5,5502.5
2015-07-15,5597,5597,5597,5597
2015-07-16,5530,5530,5530,5530
2015-07-17,5465,5465,5465,5465
2015-07-20,5425,5425,5425,5425
2015-07-21,5475.5,5475.5,5475.5,5475.5
2015-07-22,5350.5,5350.5,5350.5,5350.5
2015-07-23,5340,5340,5340,5340
2015-07-24,5224.5,5224.5,5224.5,5224.5
2015-07-27,5190,5190,5190,5190
2015-07-28,5239.5,5239.5,5239.5,5239.5
2015-07-29,5302,5302,5302,5302
2015-07-30,5241,5241,5241,5241
2015-07-31,5220,5220,5220,5220
2015-08-03,5176.5,5176.5,5176.5,5176.5
2015-08-04,5215.5,5215.5,5215.5,5215.5
